target,feature,gain,iv,psi_train_vs_holdout
will_escalate,early_reassignments,0.22808,0.0,0.0
will_escalate,category_general,0.10578,0.04405,0.0
will_escalate,category_technical,0.07045,0.03207,0.0
will_escalate,channel_phone,0.06181,0.02097,0.0
will_escalate,channel_email,0.06252,0.02369,0.0
will_escalate,early_activity_count,0.18661,0.04955,0.00377
will_escalate,early_notes_added,0.14982,0.02279,0.00716
will_escalate,category_account,0.05168,0.0113,0.0
will_escalate,channel_chat,0.01841,0.00253,0.0
will_escalate,customer_tier_basic,0.06485,0.00011,0.0
resolution_hours,early_reassignments,0.07935,0.0,0.0
resolution_hours,category_general,0.05216,0.04405,0.0
resolution_hours,category_technical,0.79395,0.03207,0.0
resolution_hours,channel_phone,0.00544,0.02097,0.0
resolution_hours,channel_email,0.00566,0.02369,0.0
resolution_hours,early_activity_count,0.01609,0.04955,0.00377
resolution_hours,early_notes_added,0.01898,0.02279,0.00716
resolution_hours,category_account,0.02286,0.0113,0.0
resolution_hours,channel_chat,0.00122,0.00253,0.0
resolution_hours,customer_tier_basic,0.00428,0.00011,0.0
